Timestamp,ExtPressure (kPa),IntPressure (kPa),Temp (C),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
13847,124.06,102.37,11.29,0.214,0.571,-0.792,3.357,0.793,1.038
13926,124.54,102.37,11.29,0.220,0.569,-0.763,0.366,3.357,0.122
14005,125.02,102.43,11.29,0.193,0.561,-0.788,-6.775,12.085,6.653
14084,124.54,102.43,11.29,0.198,0.545,-0.828,2.808,3.662,-0.610
14175,124.06,102.37,11.29,0.263,0.556,-0.759,15.137,-12.024,-4.761
14254,124.78,102.37,11.29,0.237,0.584,-0.772,7.324,-6.348,-0.488
14333,125.02,102.37,11.29,0.225,0.578,-0.766,-0.366,-4.028,5.554
14412,123.11,102.40,11.28,0.235,0.598,-0.777,-1.587,5.005,0.549
14491,124.54,102.36,11.28,0.262,0.656,-0.758,-0.793,-3.235,6.042
14570,125.02,102.37,11.29,0.222,0.575,-0.781,0.244,1.465,2.319
14649,125.26,102.37,11.29,0.218,0.571,-0.785,-0.916,1.770,2.014
14728,122.15,102.43,11.29,0.184,0.506,-0.850,14.526,6.653,-3.967
14819,122.39,102.43,11.29,0.230,0.580,-0.775,0.854,-2.869,2.380
14899,121.19,102.43,11.29,0.228,0.590,-0.771,-1.831,2.075,3.235
14978,123.11,102.43,11.29,0.215,0.577,-0.776,1.953,5.920,-0.610
15057,123.58,102.42,11.29,0.202,0.589,-0.769,3.174,3.174,0.854
15136,124.06,102.43,11.29,0.188,0.573,-0.787,-1.587,-1.221,5.920
15215,122.87,102.44,11.29,0.209,0.581,-0.788,-0.977,-1.831,5.981
15294,121.43,102.44,11.29,0.213,0.576,-0.780,7.202,-0.671,10.010
15373,121.67,102.46,11.29,0.214,0.588,-0.781,9.399,0.122,4.822
15464,121.67,102.47,11.29,0.206,0.611,-0.754,2.563,-1.526,8.789
15543,123.58,102.47,11.29,0.205,0.597,-0.770,1.526,1.160,4.822
15622,121.91,102.48,11.30,0.196,0.602,-0.767,1.770,-1.465,2.869
15701,121.91,102.48,11.30,0.206,0.607,-0.757,2.441,-0.427,3.357
15780,121.67,102.48,11.29,0.202,0.611,-0.754,0.366,1.953,6.958
15859,123.34,102.48,11.30,0.197,0.632,-0.746,-3.723,-0.916,9.216
15938,122.87,102.47,11.29,0.187,0.606,-0.765,2.197,1.709,5.798
16017,121.67,102.47,11.29,0.175,0.609,-0.773,4.822,2.686,-0.488
16109,122.39,102.47,11.29,0.185,0.631,-0.770,1.221,4.517,-7.629
16188,121.19,102.45,11.29,0.198,0.615,-0.769,11.597,6.531,-4.272
16267,122.63,102.45,11.29,0.201,0.630,-0.794,5.676,-3.967,-4.395
16346,123.11,102.44,11.29,0.210,0.859,-0.638,3.906,33.752,-34.790
16425,120.47,102.44,11.29,0.220,0.618,-0.733,-2.014,-6.287,6.165
16504,124.06,102.44,11.29,0.206,0.632,-0.721,0.000,2.197,3.967
16583,121.91,102.44,11.29,0.199,0.627,-0.771,0.549,1.770,5.920
16662,123.11,102.44,11.29,0.214,0.642,-0.711,4.700,6.958,-4.700
16753,122.87,102.44,11.29,0.226,0.573,-0.761,24.170,21.667,-27.710
16833,122.39,102.44,11.29,0.205,0.653,-0.733,-3.113,-2.930,3.174
16912,122.63,102.44,11.29,0.219,0.653,-0.730,-6.042,4.150,3.113
16991,123.82,102.45,11.29,0.213,0.615,-0.756,-0.061,1.099,2.014
17070,122.87,102.45,11.29,0.205,0.621,-0.740,-2.441,-0.183,4.761
17149,122.63,102.45,11.29,0.216,0.583,-0.712,2.686,1.465,1.404
17228,124.06,102.45,11.29,0.208,0.631,-0.740,3.967,1.221,2.075
17319,122.15,102.47,11.29,0.199,0.638,-0.729,4.456,0.732,2.197
17398,123.58,102.47,11.29,0.210,0.641,-0.747,-2.563,-1.770,7.568
17477,121.67,102.48,11.29,0.196,0.626,-0.743,5.005,2.502,1.892
17556,123.34,102.48,11.30,0.203,0.632,-0.739,2.136,-3.357,5.615
17636,122.87,102.49,11.29,0.214,0.653,-0.723,-0.244,-2.808,12.939
17715,122.63,102.49,11.29,0.193,0.652,-0.736,-1.770,-4.028,12.329
17794,123.34,102.49,11.29,0.178,0.635,-0.736,3.540,1.221,2.197
17873,121.67,102.50,11.29,0.187,0.650,-0.727,1.221,-1.282,4.761
17964,125.02,102.51,11.29,0.211,0.651,-0.724,-0.366,0.061,6.531
18043,121.67,102.52,11.30,0.174,0.642,-0.740,-1.221,-0.366,7.568
18122,123.11,102.51,11.29,0.182,0.653,-0.727,0.732,-1.343,9.949
18201,125.02,102.51,11.30,0.175,0.730,-0.708,0.000,-5.554,18.372
18280,123.82,102.51,11.29,0.165,0.671,-0.720,1.709,-2.014,5.554
18359,124.06,102.52,11.29,0.098,0.697,-0.733,-5.554,-11.353,11.353
18438,124.06,102.52,11.29,0.142,0.612,-0.791,-6.348,-8.850,7.996
18517,125.02,102.52,11.29,0.177,0.652,-0.725,11.414,7.446,-27.039
18608,123.82,102.47,11.29,0.206,0.661,-0.684,5.676,25.818,-20.386
18687,124.54,102.46,11.29,0.169,0.725,-0.771,-37.964,-15.503,11.047
18766,125.02,102.46,11.29,0.141,0.504,-0.870,-10.681,-2.747,16.174
18845,123.34,102.46,11.30,0.239,0.669,-0.808,-7.080,-11.353,8.179
18924,123.34,102.47,11.29,0.243,0.629,-0.784,6.409,6.348,-6.226
19003,124.30,102.47,11.30,0.230,0.612,-0.751,10.498,12.695,-7.019
19082,121.91,102.47,11.30,0.220,0.619,-0.805,9.277,10.132,4.395
19161,122.63,102.47,11.29,0.196,0.671,-0.647,22.095,12.756,-6.531
19252,123.34,102.48,11.30,0.238,0.627,-0.744,6.836,5.981,-0.610
19331,122.63,102.48,11.30,0.247,0.653,-0.707,9.827,7.507,-4.272
19411,124.06,102.49,11.30,0.241,0.660,-0.699,3.662,-7.812,7.568
